3,4,5,2,4,Agua
5,5,2,3,3,Planta
4,4,5,3,4,Agua
5,5,3,4,3,Planta
2,3,4,5,5,Fuego
5,5,2,3,3,Planta
2,3,5,5,5,Fuego
5,1,3,4,2,Roca
3,4,5,3,5,Agua
3,5,5,2,5,Agua
3,2,5,5,5,Fuego
4,4,5,3,5,Agua
1,2,5,5,5,Fuego
3,5,5,2,4,Agua
5,5,2,3,4,Planta
3,5,5,2,5,Agua
2,3,5,5,5,Fuego
4,5,5,3,4,Agua
5,2,5,5,3,Roca
5,5,2,4,4,Planta
3,3,5,2,4,Agua
3,5,5,2,5,Agua
4,5,2,3,3,Planta
3,5,5,2,5,Agua
4,5,5,2,5,Agua
3,5,5,3,4,Agua
3,4,5,1,5,Agua
4,3,4,5,5,Fuego
5,2,3,5,2,Roca
5,5,2,4,3,Planta
5,5,2,4,4,Planta
2,3,4,5,5,Fuego
4,5,5,2,5,Agua
2,3,5,5,5,Fuego
