1,49,49,65,65,45
2,64,63,80,80,60
3,82,83,100,100,80
4,52,43,60,50,65
5,64,58,80,65,80
6,84,78,109,85,100
7,48,65,50,64,43
8,63,80,65,80,58
9,83,100,85,105,78
37,41,40,50,65,65
38,76,75,81,100,100
43,50,55,75,65,30
44,65,70,85,75,40
45,80,85,110,90,50
46,70,55,45,55,25
47,95,80,60,80,30
54,52,48,65,50,55
55,82,78,92,80,85
58,70,45,70,50,60
59,110,80,100,80,95
60,50,40,40,40,90
61,65,65,50,50,90
62,95,95,70,90,70
69,75,35,70,30,40
70,90,50,85,45,55
71,105,65,100,70,70
72,40,35,50,100,70
73,70,65,80,100,100
74,80,100,30,30,20
75,95,100,45,45,35
76,100,100,55,65,45
77,85,55,65,65,90
78,100,70,80,80,100
79,65,65,40,40,15
80,75,100,100,80,30
86,45,55,45,70,45
87,70,80,70,90,70
90,65,100,45,25,40
91,95,100,85,45,70
95,45,100,30,45,70
98,100,90,25,25,50
99,100,100,50,50,70
102,40,80,60,45,40
103,95,85,100,65,55
111,85,95,30,30,25
112,100,100,45,45,40
114,55,100,100,40,60
116,40,70,70,25,60
117,65,95,95,45,85
