73,70,65,80,100,100
111,85,95,30,30,25
37,41,40,50,65,65
38,76,75,81,100,100
78,100,70,80,80,100
79,65,65,40,40,15
98,100,90,25,25,50
55,82,78,92,80,85
87,70,80,70,90,70
69,75,35,70,30,40
5,64,58,80,65,80
74,80,100,30,30,20
72,40,35,50,100,70
95,45,100,30,45,70
90,65,100,45,25,40
103,95,85,100,65,55
70,90,50,85,45,55
75,95,100,45,45,35
44,65,70,85,75,40
59,110,80,100,80,95
77,85,55,65,65,90
7,48,65,50,64,43
91,95,100,85,45,70
61,65,65,50,50,90
80,75,100,100,80,30
117,65,95,95,45,85
54,52,48,65,50,55
